10;djamaikata;zi9213;300.00;500
5;dgeto;aieo21;200.00;600
10;Djamaikata;3
;50.00;300
5;dgeto;5
;75.00;500
2;Az;3
;5.00;700
5;Dgeto;1
;30.00;500
2;az;2
;50.00;500
3;azz;4
;60.00;800
2;az;3
;3.00;300
3;azz;4
;4.00;600
1;a;3
;3.00;300
1;d;3
;4.00;500
1;d;2
;30.00;400
2;Az;30
;50.00;600
5;Dgeto;20
;75.00;300
2;Ti;3
;5.00;400
5;Dgeto;a12345;75.00;300
2;Az;a12345;90.00;500
2;Ti;309213;4.00;200
10;Djamaiakta;3
;50.00;300
5;dgeto;4
;75.00;600
2;Az;3
;5.00;300
10;djamaikata;a3291
;50.00;300
2;az;a31892;90.00;300
2;ti;3
;5.00;200
2;az;3
;50.00;500
2;ti;2
;60.00;100
10;djamaikata;30
;500.00;999
2;ti;20
;400.00;233
7;djamito;30
;400.00;500
2;az;20
;30.00;500
